date,new
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,1.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,1.0
2020-03-02,6.0
2020-03-03,5.0
2020-03-04,10.0
2020-03-05,27.0
2020-03-06,59.0
2020-03-07,60.0
2020-03-08,31.0
2020-03-09,39.0
2020-03-10,28.0
2020-03-11,47.0
2020-03-12,0.0
2020-03-13,245.0
2020-03-14,130.0
2020-03-15,197.0
2020-03-16,172.0
2020-03-17,185.0
2020-03-18,243.0
2020-03-19,309.0
2020-03-20,462.0
2020-03-21,558.0
2020-03-22,586.0
2020-03-23,342.0
2020-03-24,526.0
2020-03-25,668.0
2020-03-26,1298.0
2020-03-27,1049.0
2020-03-28,1850.0
2020-03-29,1702.0
2020-03-30,1063.0
2020-03-31,876.0
2020-04-01,1189.0
2020-04-02,1384.0
2020-04-03,1422.0
2020-04-04,1661.0
2020-04-05,1260.0
2020-04-06,1123.0
2020-04-07,1380.0
2020-04-08,1209.0
2020-04-09,1580.0
2020-04-10,1684.0
2020-04-11,1351.0
2020-04-12,1629.0
2020-04-13,942.0
2020-04-14,530.0
2020-04-15,2454.0
2020-04-16,1236.0
2020-04-17,1329.0
2020-04-18,1045.0
2020-04-19,1313.0
2020-04-20,1487.0
2020-04-21,973.0
2020-04-22,933.0
2020-04-23,908.0
2020-04-24,1496.0
2020-04-25,1032.0
2020-04-26,809.0
2020-04-27,553.0
2020-04-28,647.0
2020-04-29,525.0
2020-04-30,660.0
2020-05-01,513.0
2020-05-02,485.0
2020-05-03,389.0
2020-05-04,361.0
2020-05-05,242.0
2020-05-06,272.0
2020-05-07,639.0
2020-05-08,591.0
2020-05-09,585.0
2020-05-10,485.0
2020-05-11,368.0
2020-05-12,330.0
2020-05-13,202.0
2020-05-14,307.0
2020-05-15,356.0
2020-05-16,345.0
2020-05-17,291.0
2020-05-18,279.0
2020-05-19,232.0
2020-05-20,192.0
2020-05-21,252.0
2020-05-22,276.0
2020-05-23,299.0
2020-05-24,282.0
2020-05-25,250.0
2020-05-26,113.0
2020-05-27,137.0
2020-05-28,257.0
2020-05-29,212.0
2020-05-30,125.0
2020-05-31,195.0
2020-06-01,136.0
2020-06-02,98.0
2020-06-03,70.0
2020-06-04,82.0
2020-06-05,140.0
2020-06-06,165.0
2020-06-07,154.0
2020-06-08,122.0
2020-06-09,89.0
2020-06-10,132.0
2020-06-11,142.0
2020-06-12,108.0
2020-06-13,99.0
2020-06-14,111.0
2020-06-15,71.0
2020-06-16,55.0
2020-06-17,89.0
2020-06-18,104.0
2020-06-19,128.0
2020-06-20,74.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,260.0
2020-06-24,88.0
2020-06-25,109.0
2020-06-26,99.0
2020-06-27,103.0
2020-06-28,86.0
2020-06-29,66.0
2020-06-30,66.0
2020-07-01,82.0
2020-07-02,89.0
2020-07-03,129.0
2020-07-04,111.0
2020-07-05,178.0
2020-07-06,42.0
2020-07-07,0.0
2020-07-08,65.0
2020-07-09,87.0
2020-07-10,147.0
2020-07-11,112.0
2020-07-12,238.0
2020-07-13,0.0
2020-07-14,74.0
2020-07-15,91.0
2020-07-16,366.0
2020-07-17,261.0
2020-07-18,207.0
2020-07-19,0.0
2020-07-20,388.0
2020-07-21,164.0
2020-07-22,369.0
2020-07-23,220.0
2020-07-24,352.0
2020-07-25,528.0
2020-07-26,299.0
2020-07-27,402.0
2020-07-28,234.0
2020-07-29,673.0
2020-07-30,671.0
2020-07-31,745.0
2020-08-01,651.0
2020-08-02,447.0
2020-08-03,465.0
2020-08-04,334.0
2020-08-05,510.0
2020-08-06,858.0
2020-08-07,768.0
2020-08-08,617.0
