date,deaths
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,0
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,0
2020-03-17,0
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,2
2020-03-22,2
2020-03-23,3
2020-03-24,4
2020-03-25,5
2020-03-26,5
2020-03-27,5
2020-03-28,5
2020-03-29,5
2020-03-30,5
2020-03-31,5
2020-04-01,6
2020-04-02,6
2020-04-03,6
2020-04-04,8
2020-04-05,9
2020-04-06,12
2020-04-07,17
2020-04-08,20
2020-04-09,21
2020-04-10,27
2020-04-11,30
2020-04-12,34
2020-04-13,39
2020-04-14,46
2020-04-15,50
2020-04-16,60
2020-04-17,75
2020-04-18,84
2020-04-19,91
2020-04-20,101
2020-04-21,110
2020-04-22,120
2020-04-23,127
2020-04-24,131
2020-04-25,140
2020-04-26,145
2020-04-27,152
2020-04-28,155
2020-04-29,163
2020-04-30,168
2020-05-01,170
2020-05-02,175
2020-05-03,177
2020-05-04,182
2020-05-05,183
2020-05-06,186
2020-05-07,199
2020-05-08,206
2020-05-09,214
2020-05-10,228
2020-05-11,239
2020-05-12,250
2020-05-13,269
2020-05-14,283
2020-05-15,298
2020-05-16,314
2020-05-17,328
2020-05-18,349
2020-05-19,370
2020-05-20,386
2020-05-21,408
2020-05-22,432
2020-05-23,452
2020-05-24,480
2020-05-25,501
2020-05-26,522
2020-05-27,544
2020-05-28,559
2020-05-29,582
2020-05-30,610
2020-05-31,650
2020-06-01,672
2020-06-02,709
2020-06-03,746
2020-06-04,781
2020-06-05,811
2020-06-06,846
2020-06-07,888
2020-06-08,930
2020-06-09,975
2020-06-10,1012
2020-06-11,1049
2020-06-12,1095
2020-06-13,1139
2020-06-14,1171
2020-06-15,1209
2020-06-16,1262
2020-06-17,1305
2020-06-18,1343
2020-06-19,1388
2020-06-20,1425
2020-06-21,1464
2020-06-22,1502
2020-06-23,1545
2020-06-24,1582
2020-06-25,1621
2020-06-26,1661
2020-06-27,1695
2020-06-28,1738
2020-06-29,1783
2020-06-30,1847
2020-07-01,1888
2020-07-02,1926
2020-07-03,1968
2020-07-04,1997
2020-07-05,2052
2020-07-06,2096
2020-07-07,2151
2020-07-08,2197
2020-07-09,2238
2020-07-10,2275
2020-07-11,2305
2020-07-12,2352
2020-07-13,2391
2020-07-14,2424
2020-07-15,2457
2020-07-16,2496
2020-07-17,2547
2020-07-18,2581
2020-07-19,2618
2020-07-20,2668
2020-07-21,2709
2020-07-22,2751
2020-07-23,2801
2020-07-24,2836
2020-07-25,2874
2020-07-26,2928
2020-07-27,2965
2020-07-28,3000
2020-07-29,3035
2020-07-30,3083
2020-07-31,3111
2020-08-01,3132
2020-08-02,3154
2020-08-03,3184
2020-08-04,3234
2020-08-05,3267
2020-08-06,3306
2020-08-07,3333
2020-08-08,3365
