date,confirmed
2020-01-22,2
2020-01-23,3
2020-01-24,5
2020-01-25,7
2020-01-26,8
2020-01-27,8
2020-01-28,14
2020-01-29,14
2020-01-30,14
2020-01-31,19
2020-02-01,19
2020-02-02,19
2020-02-03,19
2020-02-04,25
2020-02-05,25
2020-02-06,25
2020-02-07,25
2020-02-08,32
2020-02-09,32
2020-02-10,32
2020-02-11,33
2020-02-12,33
2020-02-13,33
2020-02-14,33
2020-02-15,33
2020-02-16,34
2020-02-17,35
2020-02-18,35
2020-02-19,35
2020-02-20,35
2020-02-21,35
2020-02-22,35
2020-02-23,35
2020-02-24,35
2020-02-25,37
2020-02-26,40
2020-02-27,40
2020-02-28,41
2020-02-29,42
2020-03-01,42
2020-03-02,43
2020-03-03,43
2020-03-04,43
2020-03-05,47
2020-03-06,48
2020-03-07,50
2020-03-08,50
2020-03-09,50
2020-03-10,53
2020-03-11,59
2020-03-12,70
2020-03-13,75
2020-03-14,82
2020-03-15,114
2020-03-16,147
2020-03-17,177
2020-03-18,212
2020-03-19,272
2020-03-20,322
2020-03-21,411
2020-03-22,599
2020-03-23,721
2020-03-24,827
2020-03-25,934
2020-03-26,1045
2020-03-27,1136
2020-03-28,1245
2020-03-29,1388
2020-03-30,1524
2020-03-31,1651
2020-04-01,1771
2020-04-02,1875
2020-04-03,1978
2020-04-04,2067
2020-04-05,2169
2020-04-06,2220
2020-04-07,2258
2020-04-08,2369
2020-04-09,2423
2020-04-10,2473
2020-04-11,2518
2020-04-12,2551
2020-04-13,2579
2020-04-14,2613
2020-04-15,2643
2020-04-16,2672
2020-04-17,2700
2020-04-18,2733
2020-04-19,2765
2020-04-20,2792
2020-04-21,2811
2020-04-22,2826
2020-04-23,2839
2020-04-24,2907
2020-04-25,2907
2020-04-26,2922
2020-04-27,2931
2020-04-28,2938
2020-04-29,2947
2020-04-30,2954
2020-05-01,2960
2020-05-02,2966
2020-05-03,2969
2020-05-04,2987
2020-05-05,2988
2020-05-06,2989
2020-05-07,2992
2020-05-08,3000
2020-05-09,3004
2020-05-10,3009
2020-05-11,3015
2020-05-12,3017
2020-05-13,3017
2020-05-14,3018
2020-05-15,3025
2020-05-16,3025
2020-05-17,3028
2020-05-18,3031
2020-05-19,3033
2020-05-20,3034
2020-05-21,3037
2020-05-22,3037
2020-05-23,3040
2020-05-24,3040
2020-05-25,3042
2020-05-26,3045
2020-05-27,3054
2020-05-28,3065
2020-05-29,3076
2020-05-30,3077
2020-05-31,3081
2020-06-01,3082
2020-06-02,3083
2020-06-03,3084
2020-06-04,3101
2020-06-05,3102
2020-06-06,3104
2020-06-07,3112
2020-06-08,3119
2020-06-09,3121
2020-06-10,3125
2020-06-11,3125
2020-06-12,3129
2020-06-13,3134
2020-06-14,3135
2020-06-15,3135
2020-06-16,3135
2020-06-17,3135
2020-06-18,3141
2020-06-19,3146
2020-06-20,3147
2020-06-21,3148
2020-06-22,3151
2020-06-23,3156
2020-06-24,3158
2020-06-25,3158
2020-06-26,3162
2020-06-27,3162
2020-06-28,3162
2020-06-29,3169
2020-06-30,3171
2020-07-01,3173
2020-07-02,3179
2020-07-03,3180
2020-07-04,3185
2020-07-05,3190
2020-07-06,3195
2020-07-07,3197
2020-07-08,3197
2020-07-09,3202
2020-07-10,3202
2020-07-11,3216
2020-07-12,3217
2020-07-13,3220
2020-07-14,3227
2020-07-15,3232
2020-07-16,3236
2020-07-17,3239
2020-07-18,3246
2020-07-19,3250
2020-07-20,3250
2020-07-21,3255
2020-07-22,3261
2020-07-23,3279
2020-07-24,3279
2020-07-25,3282
2020-07-26,3291
2020-07-27,3297
2020-07-28,3297
2020-07-29,3298
2020-07-30,3304
2020-07-31,3310
2020-08-01,3312
2020-08-02,3317
2020-08-03,3320
2020-08-04,3321
2020-08-05,3328
2020-08-06,3330
2020-08-07,3345
2020-08-08,3348
2020-08-09,3351
2020-08-10,3351
2020-08-11,3351
2020-08-12,3356
2020-08-13,3359
2020-08-14,3376
2020-08-15,3376
2020-08-16,3378
2020-08-17,3378
2020-08-18,3382
2020-08-19,3382
2020-08-20,3389
2020-08-21,3390
2020-08-22,3390
2020-08-23,3395
2020-08-24,3402
2020-08-25,3402
2020-08-26,3404
2020-08-27,3410
2020-08-28,3411
2020-08-29,3411
2020-08-30,3411
2020-08-31,3417
2020-09-01,3425
2020-09-02,3427
2020-09-03,3431
2020-09-04,3431
2020-09-05,3444
2020-09-06,3445
2020-09-07,3446
2020-09-08,3447
2020-09-09,3454
2020-09-10,3461
2020-09-11,3461
2020-09-12,3473
2020-09-13,3475
2020-09-14,3475
2020-09-15,3490
2020-09-16,3490
2020-09-17,3497
2020-09-18,3497
2020-09-19,3506
2020-09-20,3506
2020-09-21,3511
2020-09-22,3514
2020-09-23,3516
2020-09-24,3519
2020-09-25,3522
2020-09-26,3523
2020-09-27,3523
2020-09-28,3559
2020-09-29,3564
2020-09-30,3569
2020-10-01,3575
2020-10-02,3583
2020-10-03,3585
2020-10-04,3590
2020-10-05,3600
2020-10-06,3615
2020-10-07,3622
2020-10-08,3628
2020-10-09,3634
2020-10-10,3636
2020-10-11,3641
2020-10-12,3643
